Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Йогурт Растишка с черникой,2.9,1.6,15.6,88
Йогуртное пюре Gerber с грушей и бананом,1.0,3.0,11.0,90
Йогуртное пюре Gerber с малиной и черникой,0.8,2.2,12.0,70
Каша 3 злака Nestle молочная с яблоком и грушей,14.0,10.0,67.5,416
Каша 5 злаков Nestle молочная с яблоком и бананом,14.0,10.0,68.0,418
Каша 7 злаков Малютка безмолочная,10.9,2.2,73.2,374
Кашка Ам-Ам Мамина забота молочно-овсяная с клубникой,2.8,2.5,10.0,75
Кефир Агуша 3.2%,2.7,3.2,4.0,56
Кисель ФрутоНяня из клюквы,0.0,0.0,11.0,44
Кисель ФрутоНяня из малины,0.0,0.0,11.5,46
Кисломолочный напиток Агуша Я Сам! Иммунити,2.0,3.4,8.3,72
Коктейль молочный Агуша Я Сам! кукуруза с бананом,2.5,3.0,10.5,85
Коктейль молочный Агуша Я Сам! рис-груша-яблоко,2.6,3.0,9.4,75
Коктейль молочный Агуша Я Сам! с гречкой,2.5,3.0,8.0,75
Коктейль молочный Здрайверы Клубника 3.2%,2.8,3.2,7.5,70
Коктейль молочный Здрайверы Крем-Брюле 3.0%,2.8,2.0,8.5,63
Коктейль молочный Здрайверы Шоколадный 3.0%,2.9,3.0,10.0,81
Коктейль молочный ФрутоНяня клубника-земляника,2.7,2.1,9.0,66
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394
Кукурузные палочки ФрутоНяня Яблоко-банан,6.0,0.0,78.0,345
Мини-хлебцы Агуша рисовые Груша,1.4,0.2,19.8,91
Мини-хлебцы Агуша рисовые Ягодное ассорти,1.5,0.2,20.0,92
Многозерновая кашка 5 злаков Heinz без молока,6.9,1.8,83.0,374
Многозерновая кашка Heinz Любопышки банан клубника йогуртная,13.0,10.9,65.0,410
Многозерновая кашка Heinz Любопышки слива абрикос черника молочная,13.0,11.0,66.0,414
Молоко Агуша с витаминами А и С 3.2%,2.9,3.2,4.7,59
Молоко Агуша с лактулозой 2.5%,3.0,3.2,4.5,59
Молоко Агуша Я Сам! Иммунити 2.5%,2.9,2.5,4.8,53
Молоко Тёма детское 3.2%,3.0,3.2,4.7,60
Молоко Тёма детское обогащенное 3.2%,2.9,3.2,4.7,59
Морс Агуша ягодный сбор,0.0,0.0,10.0,42
